	cluster
GSM1827157	GSM1827157	2
GSM1827158	GSM1827158	1
GSM1827159	GSM1827159	1
GSM1827160	GSM1827160	1
GSM1827161	GSM1827161	1
GSM1827162	GSM1827162	1
GSM1827163	GSM1827163	2
GSM1827164	GSM1827164	1
GSM1827165	GSM1827165	1
GSM1827166	GSM1827166	1
GSM1827167	GSM1827167	1
GSM1827168	GSM1827168	2
GSM1827169	GSM1827169	1
GSM1827170	GSM1827170	2
GSM1827171	GSM1827171	1
GSM1827172	GSM1827172	1
GSM1827173	GSM1827173	1
GSM1827174	GSM1827174	2
GSM1827175	GSM1827175	1
GSM1827176	GSM1827176	1
GSM1827177	GSM1827177	2
GSM1827178	GSM1827178	1
GSM1827179	GSM1827179	2
GSM1827180	GSM1827180	1
GSM1827181	GSM1827181	2
GSM1827182	GSM1827182	2
GSM1827183	GSM1827183	2
GSM1827184	GSM1827184	1
GSM1827185	GSM1827185	2
GSM1827186	GSM1827186	1
GSM1827187	GSM1827187	2
GSM1827188	GSM1827188	1
GSM1827189	GSM1827189	1
GSM1827190	GSM1827190	1
GSM1827191	GSM1827191	2
GSM1827192	GSM1827192	1
GSM1827193	GSM1827193	2
GSM1827194	GSM1827194	1
GSM1827195	GSM1827195	1
GSM1827196	GSM1827196	1
GSM1827197	GSM1827197	2
GSM1827199	GSM1827199	1
GSM1827200	GSM1827200	1
GSM1827201	GSM1827201	1
GSM1827202	GSM1827202	1
GSM1827203	GSM1827203	1
GSM1827204	GSM1827204	1
GSM1827205	GSM1827205	1
GSM1827206	GSM1827206	2
GSM1827207	GSM1827207	1
GSM1827208	GSM1827208	2
GSM1827209	GSM1827209	1
GSM1827210	GSM1827210	1
GSM1827211	GSM1827211	1
GSM1827212	GSM1827212	2
GSM1827213	GSM1827213	1
GSM1827214	GSM1827214	2
GSM1827215	GSM1827215	1
GSM1827216	GSM1827216	1
GSM1827217	GSM1827217	1
GSM1827218	GSM1827218	2
GSM1827219	GSM1827219	1
GSM1827220	GSM1827220	2
GSM1827221	GSM1827221	2
GSM1827222	GSM1827222	2
GSM1827223	GSM1827223	1
GSM1827224	GSM1827224	2
GSM1827225	GSM1827225	1
GSM1827226	GSM1827226	1
GSM1827227	GSM1827227	2
GSM1827228	GSM1827228	2
GSM1827229	GSM1827229	1
GSM1827230	GSM1827230	2
GSM1827231	GSM1827231	2
GSM1827232	GSM1827232	2
GSM1827233	GSM1827233	1
GSM1827234	GSM1827234	1
GSM1827235	GSM1827235	2
GSM1827236	GSM1827236	1
GSM1827237	GSM1827237	2
GSM1827238	GSM1827238	1
GSM1827239	GSM1827239	2
GSM1827240	GSM1827240	2
GSM1827241	GSM1827241	1
GSM1827242	GSM1827242	2
GSM1827243	GSM1827243	1
GSM1827244	GSM1827244	1
GSM1827245	GSM1827245	1
GSM1827246	GSM1827246	1
GSM1827247	GSM1827247	1
GSM1827248	GSM1827248	1
GSM1827249	GSM1827249	1
GSM1827250	GSM1827250	2
GSM1827251	GSM1827251	2
GSM1827252	GSM1827252	2
GSM1827253	GSM1827253	1
GSM1827254	GSM1827254	1
GSM1827255	GSM1827255	1
GSM1827256	GSM1827256	1
GSM1827257	GSM1827257	1
GSM1827258	GSM1827258	1
GSM1827259	GSM1827259	1
GSM1827260	GSM1827260	1
GSM1827261	GSM1827261	1
GSM1827262	GSM1827262	1
GSM1827263	GSM1827263	1
GSM1827264	GSM1827264	1
GSM1827265	GSM1827265	2
GSM1827266	GSM1827266	1
GSM1827267	GSM1827267	2
GSM1827268	GSM1827268	1
GSM1827269	GSM1827269	2
GSM1827270	GSM1827270	1
GSM1827271	GSM1827271	2
GSM1827272	GSM1827272	1
GSM1827273	GSM1827273	1
GSM1827274	GSM1827274	1
GSM1827275	GSM1827275	1
GSM1827276	GSM1827276	1
GSM1827277	GSM1827277	1
GSM1827278	GSM1827278	2
GSM1827279	GSM1827279	1
GSM1827280	GSM1827280	2
GSM1827281	GSM1827281	1
GSM1827282	GSM1827282	1
GSM1827283	GSM1827283	1
GSM1827284	GSM1827284	1
GSM1827285	GSM1827285	2
GSM1827286	GSM1827286	2
GSM1827287	GSM1827287	1
GSM1827288	GSM1827288	1
GSM1827289	GSM1827289	1
GSM1827290	GSM1827290	2
GSM1827291	GSM1827291	1
GSM1827292	GSM1827292	2
GSM1827293	GSM1827293	1
GSM1827294	GSM1827294	2
GSM1827295	GSM1827295	1
GSM1827296	GSM1827296	1
GSM1827297	GSM1827297	1
GSM1827298	GSM1827298	1
GSM1827299	GSM1827299	2
GSM1827300	GSM1827300	1
GSM1827301	GSM1827301	1
GSM1827302	GSM1827302	1
GSM1827303	GSM1827303	2
GSM1827304	GSM1827304	2
GSM1827305	GSM1827305	1
GSM1827306	GSM1827306	1
GSM1827307	GSM1827307	1
GSM1827308	GSM1827308	1
GSM1827309	GSM1827309	2
GSM1827310	GSM1827310	1
GSM1827311	GSM1827311	1
GSM1827312	GSM1827312	1
GSM1827313	GSM1827313	1
GSM1827314	GSM1827314	2
GSM1827315	GSM1827315	1
GSM1827316	GSM1827316	1
GSM1827317	GSM1827317	2
GSM1827318	GSM1827318	1
GSM1827319	GSM1827319	2
GSM1827320	GSM1827320	2
GSM1827321	GSM1827321	2
GSM1827322	GSM1827322	1
GSM1827323	GSM1827323	2
GSM1827324	GSM1827324	1
GSM1827325	GSM1827325	2
GSM1827326	GSM1827326	1
GSM1827327	GSM1827327	2
GSM1827328	GSM1827328	2
GSM1827329	GSM1827329	1
GSM1827330	GSM1827330	2
GSM1827331	GSM1827331	2
GSM1827332	GSM1827332	2
GSM1827333	GSM1827333	2
GSM1827334	GSM1827334	2
GSM1827335	GSM1827335	2
GSM1827336	GSM1827336	2
GSM1827337	GSM1827337	2
GSM1827338	GSM1827338	1
GSM1827339	GSM1827339	1
GSM1827340	GSM1827340	1
GSM1827341	GSM1827341	1
GSM1827342	GSM1827342	1
GSM1827343	GSM1827343	1
GSM1827344	GSM1827344	1
GSM1827345	GSM1827345	1
GSM1827346	GSM1827346	1
GSM1827347	GSM1827347	1
GSM1827348	GSM1827348	1
GSM1827349	GSM1827349	1
GSM1827350	GSM1827350	2
GSM1827351	GSM1827351	1
GSM1827352	GSM1827352	1
GSM1827353	GSM1827353	1
GSM1827354	GSM1827354	1
GSM1827355	GSM1827355	1
GSM1827356	GSM1827356	2
GSM1827357	GSM1827357	1
GSM1827358	GSM1827358	1
GSM1827359	GSM1827359	1
GSM1827360	GSM1827360	1
GSM1827361	GSM1827361	1
GSM1827362	GSM1827362	1
GSM1827363	GSM1827363	1
GSM1827364	GSM1827364	1
GSM1827365	GSM1827365	2
GSM1827366	GSM1827366	1
GSM1827367	GSM1827367	2
GSM1827368	GSM1827368	1
GSM1827369	GSM1827369	1
GSM590562	GSM590562	2
GSM590563	GSM590563	1
GSM590564	GSM590564	1
GSM590565	GSM590565	1
GSM590566	GSM590566	1
GSM590567	GSM590567	1
GSM590568	GSM590568	2
GSM590569	GSM590569	2
GSM590570	GSM590570	1
GSM590571	GSM590571	1
GSM590572	GSM590572	1
GSM590573	GSM590573	1
GSM590574	GSM590574	1
GSM590575	GSM590575	2
