Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
RMS039	0.697875037603865	0.672213090121002	0.208322640320035	0.116607089049415	0	0.36788167131812	0.0107749198945199	0.429436285924335	0	0.0560194774289406	0.0268736713738986	0	0	0.258025651469105	0.300064838468002	0.429674301036929	0	0	0	0.0839395458887456	0.00903829672352836	0.0166036515377747	0	0.721248241703988	0.724376328125989	3.68335016815821
RMS041	0.00763677992198767	0.00461417555572423	0.0547027607473023	0.0378732435906777	0	0.0836796296499776	0	0.026517295809059	0.0173440224613836	0	0	0.0370622638433419	0.375104328128306	0.139269003604535	0.101184961034943	0.414043629159344	0	0.00918493877364277	0.020395370154162	0.00494731681121244	0.00345415642492871	0.0210522178545019	0	0.785338586973965	0.693036406793508	1.35806609352503
RMS042	0.074360433816391	0.0742379664929855	0.0824551005977192	0.186744049601988	0.0273018373760718	0.279619509830428	0.0177286412537777	0	0	0	0.00505215236320984	0.0388911071346381	0.247900307595625	0.0483947111559532	0.0203630951563608	0.212294812118244	0.00764615788385888	0.0153655496595946	0.0150548717537068	0.0098651815346824	0.0292342561966777	0.0191898859119133	0	0.840234872670008	0.690603763971299	1.41169962743383
RMS043	0.00737751700374904	0.0476120771308597	0.107370832020012	0.0831355447262352	0	0.240351383073282	0.00311546822563685	0.0329125623043393	0.00571140501227469	0	0.0602072002973618	0.00538621206119523	0.0618364647856654	0.483449709782897	0.0568933981678945	0.634043739880913	0	0.0123786045324958	0.0171784360315398	0.0454391468776924	0	0.134784014861513	0	0.600318698236962	0.808563923439054	2.03918371677556
RMS046	0	0.0337920867240524	0.0577620677712225	0.0761790136168702	0	0.0676247347493526	0.000833993068390085	0.04232173557327	0.0243871454725736	0	0.00830457983311699	0.019754179406872	0.0960594914407087	0.0447014378974984	0.0259246659610206	0.368910666249473	0.00225196229220517	0.0794749335688525	0.022439125388084	0.0140819634219547	0.00480009339081709	0.0444644490676111	0	0.56023934679416	0.840090205018819	1.03406832489395
RMS049	0	0.0321462299124801	0.0496747598958666	0.0846140689547105	0	0.0305640278111106	0	0.035544421502042	0.0231800947799754	0	0	0.0544581544743879	0.0129584304191721	0.126761197887073	0.0463936999710495	0.418315714421302	0.000487137089741567	0	0.00486130672854702	0.0441993169289405	0	0.0139771612750737	0	0.71982300601624	0.737432893853908	0.978135722051473
RMS050	0	0.0121594464885951	0.0664277046627253	0.0921522053711855	0	0.145207657800991	0.0069915528849249	0.0342348054595037	0.00981712543471943	0	0.0195267176821511	0.0230733060841725	0.11794182202351	0.196761345309205	0.0633520591425524	0.414776905374494	0.00280900357043486	0	0.044758399634375	0	0	0.000189494848552785	0	0.767549896764522	0.719892582049299	1.25017955177209
RMS051	0.0043245737967397	0.00663238138462715	0.04539965561546	0.0772278802283983	0	0.0933300730767738	0	0.00945664847105427	0.0141982456475291	0	0.00242226464666339	0.0305791677134624	0.00475898880800132	0.038315387744092	0.0233535089485762	0.587447187031338	0.00724607828262184	0.00403646426590062	0.115707369708902	0	0	0.0161478096763721	0	0.608246971699864	0.805854710643902	1.08058368504651
RMS052	0.0170004153714344	0.00386065489530895	0.0616561371177467	0.110784291975441	0	0.123547878017296	0	0.0220575227189282	0	0	0.00481611103692767	0.0373552430017859	0	0.13211112882976	0.0524678869619278	0.305437416106877	0.0100896297302935	0	0.00294868769437054	0.0417473285704565	0	0.000700747523375746	0	0.75241387516451	0.726052800574439	0.92658107955193
RMS054	0.0162285288576598	0.00781822198419836	0.940123435987467	0.152455346562232	0	0.0462216264953433	0.0805746391902062	0.0663384260895926	0	0.0792739094099989	0.00447513208775845	0.044214956142704	0	0.144986079645403	0.228039998136793	0.570453122163921	0	0	0	0.0281160411810787	0	0.0358895205777646	0	0.772048088892912	0.667770583387632	2.44520898451212
RMS055	0.0113511580140926	0.0145104131308553	0.0773964383701157	0.0667506744095108	0	0.129550446479901	0	0.0375857947039963	0.0268046138855234	0	0.0214166188211902	0.0136508402772285	0.00445982465242464	0.0472904532280174	0.0291319906826909	0.231947307642639	0	0.0158698087003274	0.0188583435042075	0.0284906688276759	0	0.0160849812533388	0	0.620500870472211	0.811644555123679	0.791150376583735
RMS057	0.013551866116628	0.00125110150770827	0.0715912567516201	0.081574015905455	0	0.0955634703874498	0	0.0309257340640381	0.0082842977361865	0	0	0.0382715148628548	0.0130672670643296	0.044058766177145	0.0576068399600417	0.443587335094016	0.0118231721401723	0	0.0322419417394275	0.00801668767149073	0	0.00566938358600219	0	0.770708949261654	0.714421814823288	0.957084650764566
